Item,Trial Type,Timing,Post 1 Trial Type,Post 1 Timing,Text,Procedure Notes,Shuffle,Settings
2,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
3,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
4,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
5,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
6,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
7,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
8,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
9,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
10,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
11,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
12,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
13,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
14,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
15,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
16,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
17,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
18,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
19,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
20,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
21,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
22,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
23,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
24,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
25,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
26,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
27,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
28,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
29,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
30,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
31,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
32,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
33,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
34,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
35,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
36,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
37,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
38,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
39,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
40,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
41,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
42,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
43,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
44,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
45,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
46,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
47,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
48,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
49,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
50,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
51,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
52,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
53,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
54,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
55,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
56,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
57,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
58,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
59,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
60,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
61,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
62,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
63,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
64,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
65,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
66,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
67,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
68,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
69,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
70,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
71,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
72,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
73,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
74,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
75,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
76,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
77,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
78,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
79,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
80,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
81,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
82,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
83,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
84,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
85,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
86,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
87,TestFeedback,User,feedback,User,bl,random test trials,testPhase,
