Cue,Answer,Shuffle,Stimuli Notes
An experimental design in which the independent variable is made to vary across two or more groups of subjects.,Between-subjects experiment ,ON,bl
Learning from the observation of events and their consequences in the absence of a model.,Asocial observational learning,ON,bl
A chaining procedure in which training begins with the last link in the chain and adds preceding links in reverse order. ,Backward chaining ,ON,bl
A Pavlovian conditioning procedure in which the US precedes the CS.,Backward conditioning,ON,bl
Anything a person or other animal does that can be measured. ,Behavior ,ON,bl
Failure of a stimulus to become a CS when it is part of a compound stimulus that includes an effective CS. The effective CS is said to block the formation of a new CS. ,Blocking,ON,bl
"A form of counterconditioning in which a CS is paired with an aversive US, often a nausea-inducing drug.",Aversion therapy,ON,bl
"A compound reinforcement schedule that consists of a series of simple schedules, each of which is associated with a particular stimulus, with reinforcement delivered only on completion of the last schedule in the series.",Chain schedule,ON,bl
"A type of within-subject experiment in which behavior is observed in the absence of the independent variable (A), in the presence of the independent variable (B), and then again in the absence of the independent variable (A). The experimental manipulation is often referred to as an intervention.",ABA reversal design,ON,bl
A reinforcement-based treatment of loss of limb function that involves restricting a normally functioning limb. Abbreviated CIMT.,Constraint-induced movement therapy,ON,bl
The stimulus part of a conditional reflex; the stimulus that elicits a conditional response. ,Conditional stimulus,ON,bl
Nearness of events in time or space.,Contiguity,ON,bl
A dependency between events. ,Contingency,ON,bl
A reinforcement schedule in which a behavior is reinforced each time it occurs.,Continuous reinforcement,ON,bl
"In a between-subjects experiment, those subjects not exposed to the independent variable. ",Control group,ON,bl
A period in the development of an organism during which it is especially likely to learn a particular kind of behavior.,Critical period,ON,bl
A form of differential reinforcement in which a behavior that is incompatible with an unwanted behavior is systematically reinforced. Abbreviated DRI.,Differential reinforcement of incompatible behavior ,ON,bl
The variable by which the outcome of an experiment is measured. ,Dependent variable,ON,bl
The response part of a conditional reflex; the response elicited by a conditional stimulus. ,Conditional response,ON,bl
The idea that the partial reinforcement effect occurs because it is harder to discriminate between intermittent reinforcement and extinction than between continuous reinforcement and extinction.,Discrimination hypothesis,ON,bl
A neurotransmitter that produces a natural “high” and is thought to play a major role in reinforcement,Dopamine,ON,bl
"A form of negative reinforcement in which the subject first learns to escape, and then to avoid, an aversive.",Escape-avoidance learning,ON,bl
"In a between-subjects experiment, those subjects exposed to the independent variable. ",Experimental group,ON,bl
"(1) In Pavlovian conditioning, the regular appearance of the CS alone—i.e., without the US. (2) In operant learning, the regular appearance of a behavior alone— i.e., not followed by a reinforcer. ",Extinction,ON,bl
A sudden increase in the rate of behavior during the early stages of extinction.,Extinction burst,ON,bl
A reinforcement schedule in which a behavior is reinforced the first time it occurs following a specified interval since the last reinforcement. ,Fixed interval schedule,ON,bl
A reinforcement schedule in which every nth performance of a behavior is reinforced.,Fixed ratio schedule,ON,bl
 A measure of learning consisting of the number of correct responses per minute. ,Fluency,ON,bl
